title_pt;title_en;year;rating;genre;sinopse;sinopse_enriched;Cluster
Barbie;Barbie;2023;7.4;Aventura;Viver na Terra da Barbie é ser um ser perfeito em um lugar perfeito. A menos que você tenha uma crise existencial completa. Ou que você seja um Ken.;Em um mundo onde a perfeição reina suprema, a Terra da Barbie seduz com seu brilho e encanto. Mas quando uma crise existencial abala as fundações dessa utopia, a vida perfeita começa a desmoronar. E, no meio desse caos, um Ken se vê lutando para encontrar seu verdadeiro eu. Prepare-se para uma jornada repleta de descobertas e desafios, onde a busca pela identidade desafia as noções de beleza e felicidade.;0
Um Sonho de Liberdade;The Shawshank Redemption;1994;9.3;Drama;Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.;Em um sombrio sistema prisional, duas almas perdidas são unidas pelo destino, buscando esperança em meio ao desespero. Ao longo de anos de incertezas, eles descobrem que a verdadeira força reside em gestos simples de bondade, que iluminam até os corações mais sombrios. Em sua jornada de redenção, eles desafiarão não apenas as correntes da prisão, mas também os demônios que habitam dentro deles. Prepare-se para uma história emocionante de amizade, resiliência e a busca pela luz em meio à escuridão.;0
O Poderoso Chefão;The Godfather;1972;9.2;Policial;O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.;Em meio às sombras de um império construído sobre o medo e o poder, um patriarca envelhecido se vê forçado a passar as rédeas de seu legado sombrio para um filho relutante. Enquanto alianças se desintegram e traições espreitam a cada esquina, o jovem herdeiro deve enfrentar não apenas o peso de sua herança, mas também os fantasmas de um passado que não pode ser ignorado. Em um mundo onde a lealdade é uma mercadoria escassa, ele descobrirá que o verdadeiro poder pode custar mais do que se imagina. A luta pela sobrevivência de uma dinastia começa agora.;1
Batman: O Cavaleiro das Trevas;The Dark Knight;2008;9.0;Ação;Quando a ameaça conhecida como O Coringa surge de seu passado, causa estragos e caos nas pessoas de Gotham. O Cavaleiro das Trevas deve aceitar um dos maiores testes para combater a injustiça.;Quando as sombras do passado retornam, um inimigo implacável desponta nas ruas de Gotham: O Coringa. O caos se espalha como uma epidemia, desafiando a coragem e a moral do Cavaleiro das Trevas. Agora, ele deve enfrentar não apenas a injustiça, mas também os demônios que habitam seu próprio coração. A batalha por Gotham está prestes a atingir seu clímax, e o destino da cidade está em suas mãos.;4
O Poderoso Chefão II;The Godfather Part II;1974;9.0;Policial;Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.;Em 1950, enquanto o impiedoso Michael Corleone assume o comando da família, ele se embrenha em um jogo mortal para expandir seu império criminoso através de Las Vegas, Los Angeles e até mesmo Cuba. Em meio a traições e alianças inesperadas, desvela-se a fascinante e sombria saga de Vito Corleone, que fugiu da Sicília em busca do sonho americano, mas encontrou o inferno. Prepare-se para uma jornada de poder, ambição e a eterna luta pela lealdade. A história de uma dinastia que moldou o submundo, onde cada decisão pode ser a última.;3
12 Homens e uma Sentença;12 Angry Men;1957;9.0;Policial;O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.;Em meio ao frenesi de um julgamento de assassinato nas ruas pulsantes de Nova Iorque, um único jurado se ergue como a voz da razão, desafiando a pressão e o preconceito. Seu ceticismo inabalável provoca uma tempestade de dúvidas, forçando o júri a reavaliar cada evidência com uma intensidade que pode mudar tudo. À medida que os segredos obscuros emergem das sombras, a verdade se torna uma batalha de vida ou morte. O destino de um homem inocente está nas mãos de um único coração corajoso.;2
A Lista de Schindler;Schindler's List;1993;9.0;Biografia;Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a ser preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.;Na sombria Polônia sob o domínio nazista, um visionário industrial chamado Oskar Schindler vê sua vida transformada ao presenciar a brutalidade contra seus trabalhadores judeus. À medida que a sombra da guerra se intensifica, ele se torna um improvável herói, lutando contra um sistema cruel e implacável. Em meio ao desespero, ele arrisca tudo para salvar vidas, desafiando o destino em uma batalha épica pela humanidade. A coragem de um homem pode mudar o curso da história e iluminar a escuridão da opressão.;4
O Senhor dos Anéis: O Retorno do Rei;The Lord of the Rings: The Return of the King;2003;9.0;Ação;Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.;Em meio à escuridão crescente, Gandalf e Aragorn se erguem como os últimos bastiões da esperança, unindo o Mundo dos Homens contra o temível exército de Sauron. Enquanto os ecos da batalha ressoam, Frodo e Sam avançam, determinados a alcançar a Montanha da Perdição, onde o destino do Um Anel será selado. Com cada passo, a tensão se intensifica e o sacrifício se torna inevitável. Prepare-se para testemunhar uma luta titânica entre luz e trevas, onde o futuro da Terra-média está em jogo.;3
Pulp Fiction - Tempo de Violência;Pulp Fiction;1994;8.9;Policial;As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.;Em um mundo onde a traição e a lealdade dançam na linha tênue da sobrevivência, as vidas de dois assassinos da máfia colidem com as esperanças de um boxeador em busca de redenção. Enquanto um gângster e sua esposa tentam escapar das garras do destino, um par de bandidos se vê arrastado para um turbilhão de violência e escolhas desesperadas. Prepare-se para uma jornada intensa, onde cada decisão pode custar tudo, e a linha entre o bem e o mal se desfaz em meio ao caos. Em meio ao sangue e à dor, o que realmente significa ser livre?;2
O Senhor dos Anéis: A Sociedade do Anel;The Lord of the Rings: The Fellowship of the Ring;2001;8.8;Ação;Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.;Em um mundo onde as sombras ameaçam engolir a luz, um humilde hobbit do Condado se une a oito destemidos companheiros em uma missão épica. Juntos, eles enfrentam perigos inimagináveis e desvendam segredos antigos, tudo em nome de um único objetivo: destruir o temido Um Anel. Enquanto as forças das Trevas se aproximam, a esperança da Terra-média repousa sobre seus ombros. A aventura que mudará o destino de todos começa agora.;3
Três Homens em Conflito;The Good, the Bad and the Ugly;1966;8.8;Aventura;Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.;Em uma jornada repleta de traições e segredos obscuros, um astuto impostor se une a dois homens desesperados na busca por uma fortuna escondida em um cemitério remoto. À medida que desvendam mistérios antigos e enfrentam forças sobrenaturais, a confiança se transforma em suspeita, e a ganância pode custar mais do que a vida. Prepare-se para um confronto entre ambição e lealdade, onde cada passo em direção ao tesouro pode ser o último. Em um mundo onde nada é o que parece, quem sairá vitorioso da escuridão?;2
Forrest Gump: O Contador de Histórias;Forrest Gump;1994;8.8;Drama;Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual.;Em meio ao turbilhão histórico dos anos 60 e 70, um homem simples do Alabama, cuja inteligência é frequentemente subestimada, se torna a inesperada testemunha de eventos que moldaram a nação. Enquanto os ecos da guerra do Vietnã e os escândalos de Watergate reverberam, sua perspectiva singular e inocente revela verdades ocultas sobre poder, corrupção e a luta pela justiça. Através de seus olhos, a história americana se desdobra de uma maneira que você nunca imaginou. Prepare-se para uma jornada emocionante que desafia as convenções e transforma a percepção de um homem comum em um poderoso reflexo da humanidade.;4
Clube da Luta;Fight Club;1999;8.8;Drama;Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.;Em um mundo cinzento e sufocante, um simples trabalhador de escritório se une a um audacioso fabricante de sabonetes para criar um clube de luta clandestino que desafia todas as normas. À medida que os socos e a adrenalina se intensificam, eles se veem imersos em um universo sombrio e caótico, onde a luta se transforma em uma revolução pessoal. O que começou como uma fuga se transforma em uma batalha pela liberdade e pela verdadeira identidade. Prepare-se para uma jornada explosiva que irá redefinir o significado de força e coragem.;1
O Senhor dos Anéis: As Duas Torres;The Lord of the Rings: The Two Towers;2002;8.8;Ação;Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.;Em meio às trevas que envolvem Mordor, Frodo e Sam, guiados pela astúcia traiçoeira de Gollum, caminham em direção ao destino que pode selar o futuro da Terra-média. Enquanto isso, a aliança da Comunhão se ergue em uma batalha épica contra Saruman e os temíveis Isengards, onde coragem e sacrifício se entrelaçam em uma luta desesperada pela liberdade. Prepare-se para testemunhar a intensidade de uma guerra que determinará o destino de todos. A escuridão avança, mas a esperança resiste!;4
A Origem;Inception;2010;8.8;Ação;Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.;Em um mundo onde os segredos corporativos são extraídos diretamente do subconsciente, um habilidoso ladrão se vê em uma missão audaciosa: em vez de roubar, ele deve infiltrar-se na mente do poderoso diretor de uma gigante empresarial e plantar uma ideia que pode mudar o destino da empresa e, quem sabe, do mundo. À medida que ele mergulha nas profundezas da psique humana, as barreiras entre realidade e sonho começam a se desfazer, revelando um jogo perigoso de manipulação e traição. Em meio a uma corrida contra o tempo e forças que desejam impedir seu sucesso, ele descobre que a verdadeira batalha está dentro dele mesmo. Prepare-se para uma jornada fascinante onde cada pensamento pode ser uma arma e cada ideia, uma chave para a liberdade.;1
Star Wars: Episódio V - O Império Contra-Ataca;Star Wars: Episode V - The Empire Strikes Back;1980;8.7;Ação;Os rebeldes derrotaram o Império no planeta congelado Hoth. Luke Skywalker começa a treinar como um Jedi com Yoda, enquanto seus amigos são perseguidos por Darth Vader.;Em meio ao gélido deserto de Hoth, a glória da vitória dos rebeldes ecoa, mas a sombra do Império ainda se estende. Luke Skywalker, o último hope, inicia sua jornada épica de treinamento sob a tutela do sábio Yoda, enquanto seus amigos enfrentam o terror implacável de Darth Vader. A batalha entre luz e escuridão se intensifica, e o destino da galáxia está em jogo. Prepare-se para uma luta que transcende o espaço e o tempo!;3
Homem-Aranha: Através do Aranhaverso;Spider-Man: Across the Spider-Verse;2023;8.8;Animação;Miles Morales, o amigão da vizinhança Homem-Aranha, é transporado através do multiverso para unir forças com Gwen Stacy e um novo time de Pessoas-Aranha para enfrentar um vilão mais poderoso do que qualquer coisa que já tenham encontrado.;Em uma jornada épica através do multiverso, Miles Morales, o intrépido Homem-Aranha, se vê forçado a unir forças com Gwen Stacy e um novo time de valentes Pessoas-Aranha. Juntos, eles enfrentarão um vilão aterrador, cuja força é capaz de abalar as fundações de todos os mundos. A batalha pela sobrevivência e pela esperança começa agora, e o destino de todos os universos está em suas mãos. Prepare-se para uma aventura que redefine os limites da coragem!;3
Matrix;The Matrix;1999;8.7;Ação;Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.;Em um mundo dominado por forças sombrias, um habilidoso hacker se vê imerso em uma luta clandestina ao descobrir os segredos obscuros que regem sua existência. Guiado por um grupo de rebeldes enigmáticos, ele desvenda verdades inimagináveis sobre sua realidade e o papel crucial que desempenha na batalha contra aqueles que o controlam. Prepare-se para uma jornada repleta de revelações e coragem, onde cada escolha pode mudar o destino da humanidade. A hora da resistência chegou, e a verdade será a sua arma mais poderosa.;2
Os Bons Companheiros;Goodfellas;1990;8.7;Biografia;A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.;Nos sombrios corredores da máfia, Henry Hill navega entre lealdades traiçoeiras e a sedução do poder, enquanto sua vida se entrelaça com a de sua determinada esposa, Karen Hill. Em meio a alianças perigosas com os impiedosos Jimmy Conway e Tommy DeVito, ele descobre que cada escolha pode custar tudo o que ama. Uma jornada intensa por amor e ambição em um mundo onde a traição é um jogo mortal. Prepare-se para mergulhar em um universo onde a glória e a ruína dançam em um ritmo implacável.;2
Um Estranho no Ninho;One Flew Over the Cuckoo's Nest;1975;8.7;Drama;Um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.;Em um mundo sombrio, um criminoso astuto clama por insanidade para escapar das garras da prisão, apenas para encontrar-se em um centro de saúde mental dominado pelo terror de uma enfermeira tirânica. Ao confrontar os horrores que o cercam, ele incendeia a esperança nos corações dos pacientes oprimidos, unindo-os em uma rebelião explosiva. Neste embate entre a liberdade e a opressão, a luta pela sobrevivência se transforma em uma batalha épica pela dignidade humana. Prepare-se para uma jornada intensa, onde a sanidade é a última linha entre a luz e a escuridão.;2
Seven: Os Sete Crimes Capitais;Se7en;1995;8.6;Policial;Dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.;Em uma cidade mergulhada nas sombras do medo, dois detetives – um novato, cheio de esperança, e um veterano, marcado por traumas – se veem em uma caçada implacável. Um assassino em série, envolto em mistério, utiliza os sete pecados capitais como suas sinistras inspirações. À medida que os crimes se tornam mais audaciosos, a linha entre a justiça e a obsessão se desfaz. Eles terão que confrontar seus próprios demônios antes que o próximo pecado os consuma.;2
